"","child","parent","edgeWt"
"389","Roanoke x (Ogden x CNS)","Ogden x CNS",1
"391","S55-7075","N48-1248",1
"392","S62-6-16-12","Lee",1
"393","Semmes","D49-2491",1
"394","Sprite","Williams",1
"395","Swift","Renville x Capital",1
"396","T80-69","J74-40",1
"397","TN5-85","Essex",1
"399","TN89-39","T80-69",1
"401","Tracy","D60-9647",1
"402","V68-1034","PI 71.506",1
"403","Volstate","PI 54610",1
"404","Wayne","Clark",1
"405","Wayne x Kanrich","Kanrich",1
"406","Wells","C1266R",1
"407","Wilkin","Merit",1
"408","Williams","Wayne",1
"409","Williams 82","Williams",1
"410","York","Hood",1
"411","Young","Essex",1
"412","Zane","Pella",1
